Cores: 4, Threads: 4, Image: 896x768.png, Time: 4.3482 sec
Cores: 4, Threads: 4, Image: 896x768.png, Time: 4.1485 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 2.9187 sec
Cores: 8, Threads: 8, Image: 896x768.png, Time: 6.3275 sec
Cores: 8, Threads: 8, Image: 896x768.png, Time: 6.2148 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 4.6305 sec
Cores: 8, Threads: 8, Image: 896x768.png, Time: 6.2496 sec

Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 2.8109 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 2.8213 sec
Cores: 2, Threads: 2, Image: 896x768.png, Time: 3.9293 sec

Cores: 2, Threads: 2, Image: 896x768.png, Time: 3.9987 sec

Cores: 2, Threads: 2, Image: 896x768.png, Time: 3.9926 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.5387 sec
Cores: 2, Threads: 2, Image: 896x768.png, Time: 4.0518 sec
Cores: 1, Threads: 1, Image: 896x768.png, Time: 2.7000 sec

Cores: 1, Threads: 1, Image: 896x768.png, Time: 2.6981 sec
Cores: 8, Threads: 8, Image: 896x768.png, Time: 6.2052 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 4.3097 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 4.5767 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 4.9962 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.3259 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.3712 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 4.4584 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 4.2435 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 4.3567 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.4832 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 2.7494 sec
Cores: 2, Threads: 2, Image: 896x768.png, Time: 3.9547 sec

Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 2.8167 sec
Cores: 2, Threads: 2, Image: 896x768.png, Time: 3.9650 sec

Cores: 2, Threads: 2, Image: 896x768.png, Time: 4.0359 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 4.4422 sec
Cores: 1, Threads: 1, Image: 896x768.png, Time: 2.6408 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 21.7142 sec
Cores: 1, Threads: 1, Image: 896x768.png, Time: 2.6596 sec
Cores: 1, Threads: 1, Image: 896x768.png, Time: 2.6601 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 5.6916 sec

Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 7.2514 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 4.6636 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 4.4966 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 4.8563 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 5.6238 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.6845 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.6025 sec

Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.3791 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.5853 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 6.1465 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.7045 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.7770 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.8043 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.8162 sec
